"Source:","C:\Projects\BANO_Working\Git_from_20230827\BANO_StepDown_LM5160\Main_PCB_002.kicad_sch"
"Date:","24.12.2023 19:43:15"
"Tool:","Eeschema 7.0.7"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","19"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C2, C26, C27, ","3","C","C","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","Unpolarized capacitor",""
"C5, C28, ","2","C","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor",""
"D1, D2, D3, D4, D5, D6, D7, D8, D9, D17, D18, D19, ","12","WireHole_1p5","WireHole_1p5","Wire_holes:WireHole_1p2","",""
"L1, ","1","SWPA4030S1R0NT","SWPA4030S1R0NT","ul_SWPA4030S1R0NT:IND_SWPA4030S_SNL","",""
"U1, ","1","LM5160ADNTR","LM5160ADNTR","ul_LM5160ADNTR:DNT0012B","",""
