Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C61,C,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,154.178,-139.5636,-90.0,top
D1,WireHole_1p5,WireHole_1p2,73.898,-64.5922,0.0,top
D2,WireHole_1p5,WireHole_1p2,127.8636,-71.1708,0.0,top
D3,WireHole_1p5,WireHole_1p2,192.25,-56.8,0.0,top
D4,WireHole_1p5,WireHole_1p2,79.994,-61.214,0.0,top
D5,WireHole_1p5,WireHole_1p2,120.942,-62.7268,0.0,top
D6,Wire_Pad_01,Wire_Hole_1mm,78.47,-74.1934,0.0,top
D7,Wire_Pad_01,Wire_Hole_1mm,164.2262,-59.466,0.0,top
D8,Wire_Pad_01,Wire_Hole_1mm,164.2762,-83.916,0.0,top
D9,Wire_Pad_01,Wire_Hole_1mm,138.4702,-144.5796,0.0,top
D10,Wire_Pad_01,Wire_Hole_1mm,142.2202,-144.5296,0.0,top
D11,Wire_Pad_01,Wire_Hole_1mm,95.361,-74.1426,0.0,top
D12,SS36,SODFL4626X120N,95.4118,-63.5,90.0,top
D13,Wire_Pad_01,Wire_Hole_1mm,140.4238,-59.5518,0.0,top
D14,Wire_Pad_01,Wire_Hole_1mm,150.777,-128.306,0.0,top
D15,Wire_Pad_01,Wire_Hole_1mm,151.5502,-105.596,0.0,top
D16,Wire_Pad_01,Wire_Hole_1mm,140.0428,-65.1652,0.0,top
D17,WireHole_1p5,WireHole_1p2,73.9234,-67.9196,0.0,top
D18,WireHole_1p5,WireHole_1p2,120.2944,-86.0552,180.0,top
D19,WireHole_1p5,WireHole_1p2,130.3274,-101.2585,0.0,top
D20,TX6211,TX6211,122.363,-93.4918,0.0,top
D21,SS36,SODFL4626X120N,133.7564,-88.8238,90.0,top
D22,WireHole_1p5,WireHole_1p2,123.4948,-101.1936,0.0,top
D23,WireHole_1p5,WireHole_1p2,136.906,-90.7034,0.0,top
D24,LED_Cree_XHP50_6V,LED_Cree-XHP50_6V,179.287,-122.741,0.0,bottom
D25,LED_Cree_XHP50_6V,LED_Cree-XHP50_6V,171.642,-122.781,0.0,bottom
D26,LED_Cree_XHP50_6V,LED_Cree-XHP50_6V,163.997,-122.741,0.0,bottom
D27,LED_Cree_XHP50_6V,LED_Cree-XHP50_6V,156.402,-122.756,0.0,bottom
D28,LED_Cree_XHP50_6V,LED_Cree-XHP50_6V,179.287,-113.851,0.0,bottom
D29,LED_Cree_XHP50_6V,LED_Cree-XHP50_6V,171.667,-113.8852,0.0,bottom
D30,LED_Cree_XHP50_6V,LED_Cree-XHP50_6V,164.047,-113.8852,0.0,bottom
D31,LED_Cree_XHP50_6V,LED_Cree-XHP50_6V,156.377,-113.906,0.0,bottom
D32,LED_Cree_XHP50_6V,LED_Cree-XHP50_6V,179.287,-104.961,0.0,bottom
D33,LED_Cree_XHP50_6V,LED_Cree-XHP50_6V,175.514,-95.25,0.0,bottom
D33,LED_Cree_XHP50_6V,LED_Cree-XHP50_6V,183.134,-95.25,0.0,bottom
D33,LED_Cree_XHP50_6V,LED_Cree-XHP50_6V,171.667,-104.961,0.0,bottom
D33,LED_Cree_XHP50_6V,LED_Cree-XHP50_6V,167.894,-95.25,0.0,bottom
D33,LED_Cree_XHP50_6V,LED_Cree-XHP50_6V,160.274,-95.25,0.0,bottom
D34,LED_Cree_XHP50_6V,LED_Cree-XHP50_6V,164.047,-104.961,0.0,bottom
D35,LED_Cree_XHP50_6V,LED_Cree-XHP50_6V,156.427,-104.9352,0.0,bottom
D36,WireHole_1p5,WireHole_1p2,97.750093,-124.074613,0.0,top
D37,WireHole_1p5,WireHole_1p2,104.176293,-119.274013,0.0,top
D38,SS36,SODFL4626X120N,86.214093,-120.991813,0.0,top
D39,Wire_Pad_01,Wire_Hole_1mm,77.065093,-125.386013,0.0,top
D40,Gnd,Wire_Hole_1mm,76.912693,-120.788613,0.0,top
D41,Gnd,WireHole_1p2,117.4828,-130.4798,0.0,top
D42,In,WireHole_1p2,132.799,-119.126,0.0,top
D43,WireHole_1p5,WireHole_1p2,102.362,-99.4414,0.0,top
D44,WireHole_1p5,WireHole_1p2,109.9566,-90.932,0.0,top
D45,SS36,SODFL4626X120N,122.7102,-120.013953,0.0,top
D46,SS36,SODFL4626X120N,96.5708,-93.8534,0.0,top
D47,LED_Cree_XHP50_6V,LED_Cree-XHP50_6V,165.1114,-64.602,90.0,bottom
D48,LED_Cree_XHP50_6V,LED_Cree-XHP50_6V,165.1876,-71.587,90.0,bottom
D49,LED_Cree_XHP50_6V,LED_Cree-XHP50_6V,165.1622,-78.572,90.0,bottom
D50,Flash LED +,WireHole_1p2,150.677,-125.956,0.0,top
D51,Out,Wire_Hole_1mm,113.8252,-122.6058,0.0,top
D52,Gnd,Wire_Hole_1mm,120.9372,-129.9718,0.0,top
D53,Wire_Pad_01,Wire_Hole_1mm,88.7476,-89.9164,0.0,top
D54,Wire_Pad_01,Wire_Hole_1mm,106.9848,-90.932,0.0,top
D55,WireHole_1p5,WireHole_1p2,166.6862,-59.649,90.0,top
D56,WireHole_1p5,WireHole_1p2,160.0822,-73.365,90.0,top
D57,WireHole_1p5,WireHole_1p2,166.6862,-83.7282,90.0,top
D58,Flash LED -,WireHole_1p2,151.5502,-103.31,0.0,top
D59,+5B,WireHole_1p2,141.9674,-66.4098,0.0,top
D60,t_IC,WireHole_1p2,141.9674,-68.8848,0.0,top
D61,Gnd,WireHole_1p2,142.0114,-71.2724,0.0,top
